area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Serranidae","Basses, groupers, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,22.0933450393,48087.136657313364
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Serranidae","Basses, groupers, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale pots or traps,,63.6288337132
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Serranidae","Basses, groupers, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,350.6934984520,763299.8151656092
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Serranidae","Basses, groupers, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,179.5467824914,390791.4646099077
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Serranidae","Basses, groupers, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,107.4666666667,233905.92401973408
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Lutjanidae","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,33.2587989839,4.656113689233658
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Lutjanidae","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,161.7777777778,22.648314092444476
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,8.7898254457,13338.077745878532
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale seine nets,,11.8354428859
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale pots or traps,,13.4792543978
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,65.2316352378,98985.4266917239
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,74.2915845764,112733.40262113001
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale seine nets,Direct human consumption,33.3970554781,50678.198924367076
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,38.0355354056,57716.83766386249
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,42.7555555556,64879.20921617785
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,6.9835957505,0.9776785923492628
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,21.1147540984,2.9559905530491863
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,5.4639455474,12601.988529517706
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale seine nets,,4.1959418303
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale pots or traps,,7.2919847226
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale lines,,4.2482366236
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,23.1261431946,53337.901841184284
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,40.1901383977,92694.12710967836
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale lines,Direct human consumption,23.4143685625,54002.66190314364
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale seine nets,Direct human consumption,11.8400387243,27307.745089933567
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,20.5764009571,47457.20223457518
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Ostraciidae","Box-, cow-, trunkfishes","Medium reef assoc. fish (30 - 89 cm)","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,11.9876033004,27648.086529910113
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Engraulidae","Anchovies, round herrings","Small pelagics (<30 cm)","Anchovies","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale seine nets,Direct human consumption,201.7939996861,105413.7536667291
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Engraulidae","Anchovies, round herrings","Small pelagics (<30 cm)","Anchovies","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale seine nets,Other,0.2019959957,1.1238671161147862
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Octopodidae","Octopuses","Cephalopods","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale pots or traps,,1.8288866108
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Octopodidae","Octopuses","Cephalopods","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale lines,,1.8288866108
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Octopodidae","Octopuses","Cephalopods","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,10.0800000000,13416.67707408
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Octopodidae","Octopuses","Cephalopods","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale lines,Direct human consumption,10.0800000000,13416.67707408
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Octopodidae","Octopuses","Cephalopods","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,5.1607217570,6869.0215558879845
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Octopodidae","Octopuses","Cephalopods","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,5.1607217570,6869.0215558879845
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Coryphaena","Dolphinfishes","Large pelagics (>=90 cm)","Perch-likes","Puerto Rico (USA)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,2.2772594838,0.3188082366356283
