time,zlev,latitude,longitude,sst
UTC,m,degrees_north,degrees_east,degree_C
1992-01-01T12:00:00Z,0.0,18.375,293.125,NaN
1992-01-01T12:00:00Z,0.0,18.375,293.375,NaN
1992-01-01T12:00:00Z,0.0,18.375,293.625,NaN
1992-01-01T12:00:00Z,0.0,18.375,293.875,NaN
1992-01-01T12:00:00Z,0.0,18.375,294.125,NaN
1992-01-01T12:00:00Z,0.0,18.375,294.375,25.66
1992-01-01T12:00:00Z,0.0,18.375,294.625,25.57
1992-01-01T12:00:00Z,0.0,18.375,294.875,25.5
1992-01-01T12:00:00Z,0.0,18.375,295.125,25.37
1992-01-01T12:00:00Z,0.0,18.375,295.375,25.22
1992-01-01T12:00:00Z,0.0,18.375,295.625,25.17
1992-01-01T12:00:00Z,0.0,18.375,295.875,25.19
1992-01-01T12:00:00Z,0.0,18.375,296.125,25.2
1992-01-01T12:00:00Z,0.0,18.625,292.125,25.59
1992-01-01T12:00:00Z,0.0,18.625,292.375,25.68
1992-01-01T12:00:00Z,0.0,18.625,292.625,25.72
1992-01-01T12:00:00Z,0.0,18.625,292.875,25.73
1992-01-01T12:00:00Z,0.0,18.625,293.125,25.78
1992-01-01T12:00:00Z,0.0,18.625,293.375,25.8
1992-01-01T12:00:00Z,0.0,18.625,293.625,25.86
1992-01-01T12:00:00Z,0.0,18.625,293.875,25.79
1992-01-01T12:00:00Z,0.0,18.625,294.125,25.74
1992-01-01T12:00:00Z,0.0,18.625,294.375,25.61
1992-01-01T12:00:00Z,0.0,18.625,294.625,25.48
1992-01-01T12:00:00Z,0.0,18.625,294.875,25.36
1992-01-01T12:00:00Z,0.0,18.625,295.125,25.27
1992-01-01T12:00:00Z,0.0,18.625,295.375,25.13
1992-01-01T12:00:00Z,0.0,18.625,295.625,25.12
1992-01-01T12:00:00Z,0.0,18.625,295.875,25.12
1992-01-01T12:00:00Z,0.0,18.625,296.125,25.16
1992-01-01T12:00:00Z,0.0,18.875,292.125,25.51
1992-01-01T12:00:00Z,0.0,18.875,292.375,25.55
1992-01-01T12:00:00Z,0.0,18.875,292.625,25.6
1992-01-01T12:00:00Z,0.0,18.875,292.875,25.64
1992-01-01T12:00:00Z,0.0,18.875,293.125,25.66
1992-01-01T12:00:00Z,0.0,18.875,293.375,25.74
1992-01-01T12:00:00Z,0.0,18.875,293.625,25.78
1992-01-01T12:00:00Z,0.0,18.875,293.875,25.72
1992-01-01T12:00:00Z,0.0,18.875,294.125,25.73
1992-01-01T12:00:00Z,0.0,18.875,294.375,25.57
1992-01-01T12:00:00Z,0.0,18.875,294.625,25.48
1992-01-01T12:00:00Z,0.0,18.875,294.875,25.38
1992-01-01T12:00:00Z,0.0,18.875,295.125,25.31
1992-01-01T12:00:00Z,0.0,18.875,295.375,25.27
1992-01-01T12:00:00Z,0.0,18.875,295.625,25.27
1992-01-01T12:00:00Z,0.0,18.875,295.875,25.35
1992-01-01T12:00:00Z,0.0,18.875,296.125,25.35
1992-01-01T12:00:00Z,0.0,19.125,292.125,25.47
1992-01-01T12:00:00Z,0.0,19.125,292.375,25.5
1992-01-01T12:00:00Z,0.0,19.125,292.625,25.51
1992-01-01T12:00:00Z,0.0,19.125,292.875,25.55
1992-01-01T12:00:00Z,0.0,19.125,293.125,25.62
1992-01-01T12:00:00Z,0.0,19.125,293.375,25.68
1992-01-01T12:00:00Z,0.0,19.125,293.625,25.73
1992-01-01T12:00:00Z,0.0,19.125,293.875,25.7
1992-01-01T12:00:00Z,0.0,19.125,294.125,25.68
1992-01-01T12:00:00Z,0.0,19.125,294.375,25.58
1992-01-01T12:00:00Z,0.0,19.125,294.625,25.5
1992-01-01T12:00:00Z,0.0,19.125,294.875,25.4
1992-01-01T12:00:00Z,0.0,19.125,295.125,25.36
1992-01-01T12:00:00Z,0.0,19.125,295.375,25.39
1992-01-01T12:00:00Z,0.0,19.125,295.625,25.44
1992-01-01T12:00:00Z,0.0,19.125,295.875,25.48
1992-01-01T12:00:00Z,0.0,19.125,296.125,25.44
1992-01-02T12:00:00Z,0.0,17.125,292.125,26.17
1992-01-02T12:00:00Z,0.0,17.125,292.375,26.18
1992-01-02T12:00:00Z,0.0,17.125,292.625,26.16
1992-01-02T12:00:00Z,0.0,17.125,292.875,26.13
1992-01-02T12:00:00Z,0.0,17.125,293.125,26.1
1992-01-02T12:00:00Z,0.0,17.125,293.375,26.07
1992-01-02T12:00:00Z,0.0,17.125,293.625,26.1
1992-01-02T12:00:00Z,0.0,17.125,293.875,26.1
1992-01-02T12:00:00Z,0.0,17.125,294.125,26.11
1992-01-02T12:00:00Z,0.0,17.125,294.375,26.09
1992-01-02T12:00:00Z,0.0,17.125,294.625,26.06
1992-01-02T12:00:00Z,0.0,17.125,294.875,26.03
1992-01-02T12:00:00Z,0.0,17.125,295.125,26.0
1992-01-02T12:00:00Z,0.0,17.125,295.375,26.07
1992-01-02T12:00:00Z,0.0,17.125,295.625,26.21
1992-01-02T12:00:00Z,0.0,17.125,295.875,26.26
1992-01-02T12:00:00Z,0.0,17.125,296.125,26.25
1992-01-02T12:00:00Z,0.0,17.375,292.125,26.04
1992-01-02T12:00:00Z,0.0,17.375,292.375,26.06
1992-01-02T12:00:00Z,0.0,17.375,292.625,26.08
1992-01-02T12:00:00Z,0.0,17.375,292.875,26.06
1992-01-02T12:00:00Z,0.0,17.375,293.125,26.04
1992-01-02T12:00:00Z,0.0,17.375,293.375,26.02
1992-01-02T12:00:00Z,0.0,17.375,293.625,26.06
1992-01-02T12:00:00Z,0.0,17.375,293.875,26.11
1992-01-02T12:00:00Z,0.0,17.375,294.125,26.18
1992-01-02T12:00:00Z,0.0,17.375,294.375,26.19
1992-01-02T12:00:00Z,0.0,17.375,294.625,26.17
1992-01-02T12:00:00Z,0.0,17.375,294.875,26.12
1992-01-02T12:00:00Z,0.0,17.375,295.125,26.07
1992-01-02T12:00:00Z,0.0,17.375,295.375,26.11
1992-01-02T12:00:00Z,0.0,17.375,295.625,26.19
1992-01-02T12:00:00Z,0.0,17.375,295.875,26.23
1992-01-02T12:00:00Z,0.0,17.375,296.125,26.19
1992-01-02T12:00:00Z,0.0,17.625,292.125,25.98
1992-01-02T12:00:00Z,0.0,17.625,292.375,26.02
1992-01-02T12:00:00Z,0.0,17.625,292.625,26.04
1992-01-02T12:00:00Z,0.0,17.625,292.875,26.01
1992-01-02T12:00:00Z,0.0,17.625,293.125,25.98
1992-01-02T12:00:00Z,0.0,17.625,293.375,25.97
1992-01-02T12:00:00Z,0.0,17.625,293.625,26.0
1992-01-02T12:00:00Z,0.0,17.625,293.875,26.09
1992-01-02T12:00:00Z,0.0,17.625,294.125,26.19
1992-01-02T12:00:00Z,0.0,17.625,294.375,26.21
1992-01-02T12:00:00Z,0.0,17.625,294.625,26.2
1992-01-02T12:00:00Z,0.0,17.625,294.875,26.14
1992-01-02T12:00:00Z,0.0,17.625,295.125,26.08
1992-01-02T12:00:00Z,0.0,17.625,295.375,26.1
1992-01-02T12:00:00Z,0.0,17.625,295.625,26.15
1992-01-02T12:00:00Z,0.0,17.625,295.875,26.17
1992-01-02T12:00:00Z,0.0,17.625,296.125,26.12
1992-01-02T12:00:00Z,0.0,17.875,292.125,25.92
1992-01-02T12:00:00Z,0.0,17.875,292.375,26.0
1992-01-02T12:00:00Z,0.0,17.875,292.625,26.05
1992-01-02T12:00:00Z,0.0,17.875,292.875,26.04
1992-01-02T12:00:00Z,0.0,17.875,293.125,25.98
1992-01-02T12:00:00Z,0.0,17.875,293.375,25.97
1992-01-02T12:00:00Z,0.0,17.875,293.625,25.96
1992-01-02T12:00:00Z,0.0,17.875,293.875,26.05
1992-01-02T12:00:00Z,0.0,17.875,294.125,26.17
1992-01-02T12:00:00Z,0.0,17.875,294.375,26.16
1992-01-02T12:00:00Z,0.0,17.875,294.625,26.17
1992-01-02T12:00:00Z,0.0,17.875,294.875,26.09
1992-01-02T12:00:00Z,0.0,17.875,295.125,26.05
1992-01-02T12:00:00Z,0.0,17.875,295.375,26.07
1992-01-02T12:00:00Z,0.0,17.875,295.625,26.08
1992-01-02T12:00:00Z,0.0,17.875,295.875,26.08
1992-01-02T12:00:00Z,0.0,17.875,296.125,26.04
1992-01-02T12:00:00Z,0.0,18.125,292.125,25.93
1992-01-02T12:00:00Z,0.0,18.125,292.375,25.98
1992-01-02T12:00:00Z,0.0,18.125,292.625,26.07
1992-01-02T12:00:00Z,0.0,18.125,292.875,26.12
1992-01-02T12:00:00Z,0.0,18.125,293.125,NaN
1992-01-02T12:00:00Z,0.0,18.125,293.375,NaN
1992-01-02T12:00:00Z,0.0,18.125,293.625,NaN
1992-01-02T12:00:00Z,0.0,18.125,293.875,NaN
1992-01-02T12:00:00Z,0.0,18.125,294.125,NaN
1992-01-02T12:00:00Z,0.0,18.125,294.375,26.16
1992-01-02T12:00:00Z,0.0,18.125,294.625,26.14
1992-01-02T12:00:00Z,0.0,18.125,294.875,26.1
1992-01-02T12:00:00Z,0.0,18.125,295.125,26.05
1992-01-02T12:00:00Z,0.0,18.125,295.375,25.97
1992-01-02T12:00:00Z,0.0,18.125,295.625,25.95
1992-01-02T12:00:00Z,0.0,18.125,295.875,25.96
1992-01-02T12:00:00Z,0.0,18.125,296.125,25.93
1992-01-02T12:00:00Z,0.0,18.375,292.125,25.87
1992-01-02T12:00:00Z,0.0,18.375,292.375,25.96
1992-01-02T12:00:00Z,0.0,18.375,292.625,26.04
1992-01-02T12:00:00Z,0.0,18.375,292.875,NaN
1992-01-02T12:00:00Z,0.0,18.375,293.125,NaN
1992-01-02T12:00:00Z,0.0,18.375,293.375,NaN
1992-01-02T12:00:00Z,0.0,18.375,293.625,NaN
1992-01-02T12:00:00Z,0.0,18.375,293.875,NaN
1992-01-02T12:00:00Z,0.0,18.375,294.125,NaN
1992-01-02T12:00:00Z,0.0,18.375,294.375,26.04
1992-01-02T12:00:00Z,0.0,18.375,294.625,26.0
1992-01-02T12:00:00Z,0.0,18.375,294.875,25.94
1992-01-02T12:00:00Z,0.0,18.375,295.125,25.85
1992-01-02T12:00:00Z,0.0,18.375,295.375,25.73
1992-01-02T12:00:00Z,0.0,18.375,295.625,25.68
1992-01-02T12:00:00Z,0.0,18.375,295.875,25.73
1992-01-02T12:00:00Z,0.0,18.375,296.125,25.79
1992-01-02T12:00:00Z,0.0,18.625,292.125,25.82
1992-01-02T12:00:00Z,0.0,18.625,292.375,25.92
1992-01-02T12:00:00Z,0.0,18.625,292.625,26.02
1992-01-02T12:00:00Z,0.0,18.625,292.875,26.09
1992-01-02T12:00:00Z,0.0,18.625,293.125,26.11
1992-01-02T12:00:00Z,0.0,18.625,293.375,26.17
1992-01-02T12:00:00Z,0.0,18.625,293.625,26.18
