Indicator,Hard coral cover,,,Hard coral cover,,,Hard coral cover,,,Coral species richness,,,Coral species richness,,,Coral species richness,,
Unit,Percent cover,,,Percent cover,,,Percent cover,,,Simpsons biodiversity index,,,Simpsons biodiversity index,,,Simpsons biodiversity index,,
Year,Puerto Rico,llim,ulim,St.Thomas and St. John,llim,ulim,St.  Croix,llim,ulim,Puerto Rico,llim,ulim,St. Thomas and St. John,llim,ulim,St. Croix,llim,ulim
2013,,,,8.240485414,7.197735747,9.283235081,,,,,,,8.95953243,8.617296257,9.301768603,,,
2014,6.692745455,6.026656604,7.358834306,,,,,,,8.522260768,8.145343546,8.89917799,,,,,,
2015,,,,7.170133043,6.50075384,7.839512246,5.542178305,5.094717694,5.989638916,,,,7.977928293,7.676713673,8.279142913,8.21848248,7.799819208,8.637145752
2016,5.861600921,5.448178939,6.275022903,,,,,,,6.887613456,6.617583438,7.157643474,,,,,,
2017,,,,5.37148569,4.855108284,5.887863096,4.927341575,4.534960656,5.319722494,,,,7.28890396,7.036113905,7.541694015,8.54025243,8.233022041,8.847482819
2019,5.078417914,4.595801145,5.561034683,4.196452675,3.825940371,4.566964979,4.101046058,3.777201507,4.424890609,7.265800404,6.853406721,7.678194087,6.203649896,5.93820636,6.469093432,6.319062221,6.07780851,6.560315932
