Indicator,Coral species diversity,
Unit,Simpson biodiversity index average,
Year,Average coral species diversity in NCRMP sites in Puerto Rico,SE
2014,0.732601288,0.017744219
2016,0.69131376,0.015541049
2019,0.696081503,0.026609173
