Indicator,Hard coral cover,
Unit,Percent cover,
Year,Average percent coral cover in NCRMP sites in St.Thomas and St. John,SE
2013,8.240485414,1.042749667
2015,7.170133043,0.669379203
2017,5.37148569,0.516377406
2019,4.196452675,0.370512304
