Indicator,Coral species richness,
Unit,Coral species richness average,
Year,Average coral species richness in NCRMP sites in Puerto Rico,SE
2014,8.522260768,0.376917222
2016,6.887613456,0.270030018
2019,7.265800404,0.412393683
