Indicator,Coral species richness,
Unit,Coral species richness average,
Year,Average coral species richness in NCRMP sites in St. Thomas and St. John,SE
2013,8.95953243,0.342236173
2015,7.977928293,0.30121462
2017,7.28890396,0.252790055
2019,6.203649896,0.265443536
