Indicator,Recreational fishing participation Puerto Rico
Unit,Number of anglers
Year,Total participation - numbers of anglers including residents and non residents
2000,249868
2001,222128
2002,237995
2003,219910
2004,163833
2005,141743
2006,213005
2007,185429
2008,149544
2009,132589
2010,103287
2011,112457
2012,93839
2013,127518
2014,111548
2015,156864
2016,124674
