indicator,Degree Heating Weeks
units ,°C-weeks
extent,Puerto Rico
Dec-14,0.1443
Jan-15,0.055858065
Feb-15,0
Mar-15,0
Apr-15,0
May-15,0
Jun-15,0
Jul-15,0
Aug-15,0
Sep-15,0.118286667
Oct-15,1.653316129
Nov-15,2.42
Dec-15,1.989580645
Jan-16,0.458116129
Feb-16,0
Mar-16,0
Apr-16,0
May-16,0
Jun-16,0
Jul-16,0
Aug-16,0
Sep-16,0.294856667
Oct-16,1.31
Nov-16,1.423113333
Dec-16,0.865177419
Jan-17,0.1786
Feb-17,0.019135714
Mar-17,0
Apr-17,0
May-17,0
Jun-17,0
Jul-17,0
Aug-17,0.013829032
Sep-17,0.982956667
Oct-17,1.24
Nov-17,1.09052
Dec-17,0.099580645
Jan-18,0
Feb-18,0
Mar-18,0
Apr-18,0
May-18,0
Jun-18,0
Jul-18,0
Aug-18,0
Sep-18,0
Oct-18,0
Nov-18,0
Dec-18,0
Jan-19,0
Feb-19,0
Mar-19,0
Apr-19,0
May-19,0
Jun-19,0
Jul-19,0
Aug-19,0
Sep-19,1.387146667
Oct-19,5.990967742
Nov-19,7.8671
Dec-19,5.437145161
Jan-20,0.933551613
Feb-20,0
Mar-20,0
Apr-20,0
May-20,0
Jun-20,0
Jul-20,0
Aug-20,0
Sep-20,0.704333333
Oct-20,3.363245161
Nov-20,3.5343
Dec-20,2.033419355
Jan-21,0.07823871
Feb-21,0
Mar-21,0
Apr-21,0
May-21,0
Jun-21,0
Jul-21,0
Aug-21,0
