Indicator,Coral species diversity,
Unit,Simpson's biodiversity index average,
Year,Average coral Simpson's diversity in NCRMP sites in Puerto Rico,
2013,0.729668444,0.011808414
2015,0.720240681,0.013557932
2017,0.6948285,0.012494767
2019,0.613849831,0.022897206
