Indicator,"Recreational fishing harvest by mode of fishing for all fish species in Puerto Rico, 2000-2012"
Unit ,"Pounds landed of all fish species from shore, charter and private boats"
Year,Total pounds landed 
2000,4655431
2001,3305191
2002,2454351
2003,3767579
2004,2149865
2005,1973897
2006,2402422
2007,2375686
2008,1911312
2009,1166187
2010,784068
2011,891662
2012,1246019
