Indicator,Unemployment rate in the U.S. Virgin Islands, 
Unit,Unemployment rate,
Extent,USVI,
2009,7.6,
2010,8.1,
2011,9.1,
2012,11.7,
2013,13.4,
2014,13,
2015,11.9,
2016,11.1,
2017,12,
2018,8.5,
2019,6.1,
2020,9.7,
2021,8.9,
