Indicator,Hard coral cover,
Unit,Percent cover,
Year,Average percent coral cover in NCRMP sites in St.  Croix,SE
2015,5.542178305,0.447460611
2017,4.927341575,0.392380919
2019,4.101046058,0.323844551
