Indicator,Sargassum mentions in press
Unit,Google trends mentions
Month,Sargassum: (Puerto Rico)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,100
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,6
2012-05,0
2012-06,0
2012-07,0
2012-08,5
2012-09,0
2012-10,5
2012-11,0
2012-12,5
2013-01,0
2013-02,0
2013-03,5
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,5
2014-03,4
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,4
2014-10,0
2014-11,0
2014-12,0
2015-01,4
2015-02,0
2015-03,0
2015-04,4
2015-05,25
2015-06,9
2015-07,0
2015-08,42
2015-09,0
2015-10,4
2015-11,4
2015-12,4
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,4
2016-09,4
2016-10,4
2016-11,0
2016-12,0
2017-01,0
2017-02,8
2017-03,4
2017-04,0
2017-05,0
2017-06,4
2017-07,16
2017-08,7
2017-09,6
2017-10,0
2017-11,6
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,23
2018-06,62
2018-07,12
2018-08,27
2018-09,24
2018-10,0
2018-11,0
2018-12,0
2019-01,4
2019-02,8
2019-03,0
2019-04,4
2019-05,0
2019-06,12
2019-07,8
2019-08,7
2019-09,7
2019-10,7
2019-11,8
2019-12,0
2020-01,4
2020-02,7
2020-03,0
2020-04,0
2020-05,9
2020-06,0
2020-07,7
2020-08,10
2020-09,6
2020-10,3
2020-11,0
2020-12,7
2021-01,7
2021-02,0
2021-03,13
2021-04,3
2021-05,33
2021-06,74
2021-07,42
2021-08,0
