Indicator,Annual GDP of Puerto Rico
Units,Annual GDP *Millions of chained 2012 dollars (adjusted for inflation)
Extent,Annual Gross Domestic Product
2012,103481
2013,106082
2014,109746
2015,110923
2016,106998
2017,101981
2018,99555
2019,99851
