Indicator,Hard coral cover,
Unit,Percent cover,
Year,Average percent coral cover in NCRMP sites in Puerto Rico,SE
2014,6.692745455,0.666088851
2016,5.861600921,0.413421982
2019,5.078417914,0.482616769
