SCIname,COMname,common,genera,subfam,PD,Lmax,borrowed
Panulirus argus,"LOBSTERS,SPINY",NA,NA,NA,invert,NA,
Crassostrea rhizophorae,MANGROVE OYSTER,NA,NA,NA,invert,NA,
Octopus,"OCTOPUS,UNSPECIFIED",NA,NA,Octopus,invert,NA,
Crustacea,"SHELLFISH,UNSPECIFIED",NA,NA,Crustacea,invert,NA,
Penaeus,"SHRIMP,PENAEUS,UNSPECIFIED",NA,NA,Penaeus,invert,NA,
Theuthoidea,"SQUIDS,UNSPECIFIED",NA,NA,Theuthoidea,invert,NA,
Cittarium pica,"TOPSNAIL,WEST INDIAN",NA,NA,NA,invert,NA,
Osteichthyes,"FISHES,BONY,UNSPECIFIED",NA,NA,Osteichthyes,NA,NA,
Orectolobidae,"SHARK,WOBBEGONGS",NA,NA,Orectolobidae,NA,NA,
Stromateidae,"BUTTERFISH,UNSPECIFIED",Atlantic butterfish,NA,Stromateidae,pelagic,30,
Cypselurus melanurus,"FLYINGFISH, ATLANTIC",NA,NA,Exocoetidae,pelagic,32,
Exocoetidae,"FLYINGFISH,UNSPECIFIED",NA,NA,Exocoetidae,pelagic,32,
Istiophoridae,"MARLIN,UNSPECIFIED",NA,NA,Istiophoridae,pelagic,300,1
Tetrapturus albidus,"MARLIN,WHITE",Atlantic white marlin,NA,Istiophoridae,pelagic,300,
Xiphiidae,SWORDFISH,Swordfish,NA,Xiphiidae,pelagic,455,
Mobulidae,"RAYS,MANTA",NA,NA,Mobulidae,pelagic,910,
Manta birostris,"RAYS,MANTA",Giant manta,NA,Mobulidae,pelagic,910,
Rhincodontidae,"SHARK,WHALE",NA,NA,Rhincodontidae,pelagic,1700,
Anchoa hepsetus,"ANCHOVY,STRIPED",Broad-striped anchovy,5863,Engraulinae,pelagic-neritic,15.30000019,
Chirocentrodon bleekerianus,"HERRING,DOGTOOTH",Dogtooth herring,4436,NA,pelagic-neritic,16.10000038,
Engraulidae,"ANCHOVIES,UNSPECIFIED",NA,NA,Engraulidae,pelagic-neritic,16.75,1
