SCIname,COMname,common,genera,subfam,PD,Lmax,borrowed
Centropomus undecimalis,"SNOOK,COMMON",Common snook,549,NA,reef-associated,140,
Muraenidae,"EEL,MORAYS,UNSPECIFIED",NA,NA,Muraenidae,reef-associated,146.67,1
Mycteroperca bonaci,"GROUPER,BLACK",Black grouper,4738,Epinephelinae,reef-associated,150,
Tylosurus crocodilus,HOUNDFISH,Hound needlefish,1044,NA,reef-associated,150,
Alectis ciliaris,"POMPANO,AFRICAN",African pompano,2433,Caranginae,reef-associated,150,
Epinephelus mystacinus,"GROUPER,MISTY",Misty grouper,NA,Serranidae,reef-associated,160,
Seriola rivoliana,"JACK,ALMACO",Longfin yellowtail,7464,Naucratinae,reef-associated,160,
Lutjanus cyanopterus,"SNAPPER,CUBERA",Cubera snapper,1202,Lutjaninae,reef-associated,160,
Elagatis bipinnulata,RAINBOW RUNNER,Rainbow runner,1900,Naucratinae,reef-associated,180,
Scomberomorus regalis,"MACKEREL,CERO",Cero,2960,Scombrinae,reef-associated,183,
Seriola dumerili,"AMBERJACK,GREATER",Greater amberjack,7464,Naucratinae,reef-associated,190,
Sphyraenidae,BARRACUDA,NA,NA,Sphyraenidae,reef-associated,200,
Sphyraena barracuda,"BARRACUDA,GREAT",Great barracuda,997,NA,reef-associated,200,
Rachycentron canadum,COBIA,Cobia,3309,NA,reef-associated,200,
Rachycentridae,COBIA,NA,NA,Rachycentridae,reef-associated,200,
Fistulariidae,CORNETFISH,NA,NA,Fistulariidae,reef-associated,200,
Fistularia tabacaria,"CORNETFISH,BLUESPOTTED",Cornetfish,1424,NA,reef-associated,200,
Gymnothorax funebris,"EEL,MORAY,GREEN",Green moray,3758,Muraeninae,reef-associated,250,
Epinephelus itajara,"GROUPER,GOLIATH",Atlantic goliath grouper,7755,Epinephelinae,reef-associated,250,
Megalopidae,TARPON,NA,NA,Megalopidae,reef-associated,250,
Megalops atlanticus,TARPON,Tarpon,5018,NA,reef-associated,250,
Carcharhinus limbatus,"SHARK,BLACKTIP",Blacktip shark,1358,NA,reef-associated,275,
Carcharhinus perezii,"SHARK,REEF",Caribbean reef shark,1358,NA,reef-associated,300,
Carcharhinidae,"SHARKS,REQUIEM,UNSPECIFIED",NA,NA,Carcharhinidae,reef-associated,300,1
Negaprion brevirostris,"SHARK,LEMON",Lemon shark,5927,NA,reef-associated,340,
Carcharhinus obscurus,"SHARK,DUSKY",Dusky shark,1358,NA,reef-associated,420,
Ginglymostoma cirratum,"SHARK,NURSE",Nurse shark,1797,NA,reef-associated,430,
