SCIname,COMname,common,genera,subfam,famcode,PD,Lmax,borrowed
Coryphaena equiselis,"DOLPHINFISH,POMPANO",Pompano dolphinfish,6651,NA,dolphinfish,pelagic-oceanic,145.6999969,
Umbrina coroides,"DRUM,SAND",Sand drum,1644,NA,drums,demersal,35,
Bairdiella ronchus,"DRUMMER,GROUND",Ground croaker,3481,NA,drums,demersal,35,
Cynoscion jamaicensis,"DRUMMER,MONGOLAR",Jamaica weakfish,5172,NA,drums,demersal,50,
Micropogonias furnieri,"DRUMMER,WHITEMOUTH",Whitemouth croaker,124,NA,drums,demersal,60,
Equetus punctatus,"DRUM,SPOTTED",Spotted drum,3517,NA,drums,reef-associated,27,
Odontoscion dentex,"DRUM,REEF CROAKER",Reef croaker,5824,NA,drums,reef-associated,30,
Equetus lanceolatus,"DRUM,JACKKNIFE-FISH",Jack-knifefish,NA,Sciaenidae,drums,reef-associated,25,
Sciaenidae,"DRUM,UNSPECIFIED",NA,NA,Sciaenidae,drums,reef-associated,25,1
Conger,"EEL,CONGER",NA,NA,Conger,eels,reef-associated,100,1
Conger triporiceps,"EEL,CONGER,MANYTOOTH",Manytooth conger,8995,Congrinae,eels,reef-associated,100,
Muraenidae,"EEL,MORAYS,UNSPECIFIED",NA,NA,Muraenidae,eels,reef-associated,146.67,1
Gymnothorax ocellatus,"EEL,MORAY",Ocellated moray,3758,Muraeninae,eels,reef-associated,90,
Enchelycore nigricans,"EEL,MORAY,VIPER",Viper moray,1716,Muraeninae,eels,reef-associated,100,
Gymnothorax funebris,"EEL,MORAY,GREEN",Green moray,3758,Muraeninae,eels,reef-associated,250,
Anguilla rostrata,"EEL,AMERICAN",American eel,9424,NA,eels,demersal,152,
Monacanthus setifer,"FILEFISH,PYGMY",Pygmy filefish,NA,Monacanthidae,filefishes,reef-associated,20,
Aluterus schoepfi,"FILEFISH,ORANGE",Orange filefish,NA,Monacanthidae,filefishes,reef-associated,61,
Cantherhines pullus,"FILEFISH,ORANGESPOTTED",Orangespotted filefish,508,NA,filefishes,reef-associated,20,
Cypselurus melanurus,"FLYINGFISH, ATLANTIC",NA,NA,Exocoetidae,flyingfish,pelagic,32,
Exocoetidae,"FLYINGFISH,UNSPECIFIED",NA,NA,Exocoetidae,flyingfish,pelagic,32,
Antennariidae,FROGFISHES,NA,NA,Antennariidae,other,reef-associated,20,1
Mullidae,"GOATFISH,UNSPECIFIED",NA,NA,Mullidae,goatfishes,reef-associated,37.4,
Pseudupeneus maculatus,"GOATFISH,SPOTTED",Spotted goatfish,2722,NA,goatfishes,reef-associated,30,
Mulloidichthys martinicus,"GOATFISH,YELLOW",Yellow goatfish,10232,NA,goatfishes,reef-associated,44.79999924,
Sicydium plumieri,"GOBY,SIRAJO",Sirajo,5237,Sicydiinae,other,benthopelagic,11,
Gonioplectrus hispanus,SPANISH FLAG,Spanish flag,4428,Epinephelinae,groupers,demersal,30,
Epinephelus adscensionis,"GROUPER,ROCK HIND",Rock hind,7755,Epinephelinae,groupers,demersal,65,
Paranthias furcifer,CREOLE-FISH,Creole-fish,3721,Epinephelinae,groupers,reef-associated,30,
Alphestes afer,"HAMLET,MUTTON",Mutton hamlet,8032,Epinephelinae,groupers,reef-associated,33,
Cephalopholis fulva,"GROUPER,CONEY",Coney,6535,Epinephelinae,groupers,reef-associated,44,
Epinephelus guttatus,"GROUPER,RED HIND",Red hind,7755,Epinephelinae,groupers,reef-associated,76,
Mycteroperca interstitialis,"GROUPER,YELLOWMOUTH",Yellowmouth grouper,4738,Epinephelinae,groupers,reef-associated,84,
Mycteroperca venenosa,"GROUPER,YELLOWFIN",Yellowfin grouper,4738,Epinephelinae,groupers,reef-associated,100,
Mycteroperca tigris,"GROUPER,TIGER",Tiger grouper,4738,Epinephelinae,groupers,reef-associated,101,
Epinephelus striatus,"GROUPER,NASSAU",Nassau grouper,7755,Epinephelinae,groupers,reef-associated,122,
Epinephelus morio,"GROUPER,RED",Red grouper,7755,Epinephelinae,groupers,reef-associated,125,
Mycteroperca bonaci,"GROUPER,BLACK",Black grouper,4738,Epinephelinae,groupers,reef-associated,150,
Epinephelus itajara,"GROUPER,GOLIATH",Atlantic goliath grouper,7755,Epinephelinae,groupers,reef-associated,250,
Epinephelus cruentatus,"GROUPER,GRAYSBY",Graysby,NA,Epinephelinae,groupers,reef-associated,42.6,
Epinephelus flavolimbatus,"GROUPER,YELLOWEDGE",Yellowedge grouper,NA,Epinephelinae,groupers,reef-associated,115,
Grammistidae,SOAPFISH,NA,NA,Grammistidae,groupers,reef-associated,35,1
Rypticus saponaceus,"SOAPFISH,GREATER",Greater soapfish,816,Grammistinae,groupers,reef-associated,35,
Epinephelus inermis,"GROUPER,MARBLED",Marbled grouper,NA,Serranidae,groupers,reef-associated,91,
Serranidae,"GROUPER,UNSPECIFIED",NA,NA,Serranidae,groupers,reef-associated,108.97,1
Epinephelus mystacinus,"GROUPER,MISTY",Misty grouper,NA,Serranidae,groupers,reef-associated,160,
Serranus tortugarum,"BASS,CHALK",Chalk bass,5359,Serraninae,groupers,reef-associated,8,
Hypoplectrus nigricans,"HAMLET,BLACK",Black hamlet,1363,Serraninae,groupers,reef-associated,15.23999977,
Serranus phoebe,TATTLER,Tattler,5359,Serraninae,groupers,reef-associated,20,
Serranus tabacarius,TOBACCOFISH,Tobaccofish,5359,Serraninae,groupers,reef-associated,22,
Diplectrum bivittatum,"SAND PERCH,DWARF",Dwarf sand perch,10490,Serraninae,groupers,reef-associated,25,
Haemulidae,"GRUNT,UNSPECIFIED",NA,NA,Haemulidae,grunts,demersal,41.785,1
Haemulon plumieri,"GRUNT,WHITE",NA,NA,Haemulidae,grunts,reef-associated,53,
Conodon nobilis,"GRUNT,BARRED",Barred grunt,4477,Haemulinae,grunts,demersal,33.59999847,
Pomadasys crocro,"GRUNT,BURRO",Burro grunt,3076,Haemulinae,grunts,demersal,38,
Haemulon chrysargyreum,"GRUNT,SMALLMOUTH",Smallmouth grunt,1239,Haemulinae,grunts,reef-associated,23,
Haemulon aurolineatum,"GRUNT,TOMTATE",Tomtate grunt,1239,Haemulinae,grunts,reef-associated,25,
Haemulon flavolineatum,"GRUNT,FRENCH",French grunt,1239,Haemulinae,grunts,reef-associated,30,
Haemulon melanurum,"GRUNT,COTTONWICK",Cottonwick grunt,1239,Haemulinae,grunts,reef-associated,33,
Haemulon carbonarium,"GRUNT,CAESAR",Caesar grunt,1239,Haemulinae,grunts,reef-associated,36,
Haemulon bonariense,"GRUNT,BLACK",Black grunt,1239,Haemulinae,grunts,reef-associated,40,
Anisotremus virginicus,"GRUNT,PORKFISH",Porkfish,1849,Haemulinae,grunts,reef-associated,40.59999847,
Haemulon macrostomum,"GRUNT,SPANISH",Spanish grunt,1239,Haemulinae,grunts,reef-associated,43,
Haemulon sciurus,"GRUNT,BLUESTRIPED",Bluestriped grunt,1239,Haemulinae,grunts,reef-associated,46,
Anisotremus surinamensis,"GRUNT,BLACK MARGATE",Black margate,1849,Haemulinae,grunts,reef-associated,76,
Haemulon album,"GRUNT,MARGATE",White margate,1239,Haemulinae,grunts,reef-associated,79,
Dactylopteridae,FLYING GUNARD,NA,NA,Dactylopteridae,gurnard,reef-associated,50,
Dactylopterus volitans,FLYING GUNARD,Flying gurnard,1858,NA,gurnard,reef-associated,50,
Hyporhamphus unifasciatus,"HALFBEAK,SILVERSTRIPE",Common halfbeak,2029,NA,halfbeaks,reef-associated,30,
Hemiramphus brasiliensis,BALLYHOO,Ballyhoo halfbeak,5247,NA,halfbeaks,reef-associated,55,
Harengula jaguana,"SARDINE,SCALED",Scaled herring,6654,Dorosomatinae,herrings,reef-associated,21.20000076,
Harengula humeralis,"SARDINE,REDEAR",Redear herring,6654,Dorosomatinae,herrings,reef-associated,22,
Harengula clupeola,FALSE PLICHARD,False herring,6654,Dorosomatinae,herrings,reef-associated,22.5,
Opisthonema oglinum,"HERRING,ATLANTIC THREAD",Atlantic thread herring,5705,Dorosomatinae,herrings,reef-associated,38,
Chirocentrodon bleekerianus,"HERRING,DOGTOOTH",Dogtooth herring,4436,NA,herrings,pelagic-neritic,16.10000038,
Jenkinsia lamprotaenia,"HERRING,DWARF",Dwarf round herring,7908,NA,herrings,reef-associated,7.5,
Clupeidae,HERRINGS,herrings,,Clupeidae,herrings,reef-associated,21.2,
Sardinella,"HERRING,SARDINELLA",NA,NA,Sardinella,herrings,reef-associated,20.5,1
Carangidae,JACKS,NA,NA,Carangidae,jacks,reef-associated,82.4,1
Selene setapinnis,"MOONFISH,ATLANTIC",Atlantic moonfish,3554,Caranginae,jacks,benthopelagic,60,
Caranx lugubris,"JACK,BLACK",Black jack,3864,Caranginae,jacks,benthopelagic,100,
Chloroscombrus chrysurus,"BUMPER,ATLANTIC",Atlantic bumper,4797,Caranginae,jacks,pelagic-neritic,65,
Decapterus macarellus,"SCAD,MACKEREL",Mackerel scad,10590,Caranginae,jacks,pelagic-oceanic,46,
Decapterus punctatus,"SCAD,ROUND",Round scad,10590,Caranginae,jacks,reef-associated,30,
Caranx crysos,BLUE RUNNER,Blue runner,3864,Caranginae,jacks,reef-associated,70,
Selar crumenophthalmus,"SCAD,BIGEYE",Bigeye scad,3942,Caranginae,jacks,reef-associated,70,
Caranx ruber,"JACK,BAR",Bar jack,3864,Caranginae,jacks,reef-associated,73,
Caranx bartholomaei,"JACK,YELLOW",Yellow jack,3864,Caranginae,jacks,reef-associated,100,
Caranx latus,"JACK,HORSE-EYE",Horse-eye jack,3864,Caranginae,jacks,reef-associated,101,
Caranx hippos,"JACK,CREVALLE",Crevalle jack,3864,Caranginae,jacks,reef-associated,124,
Alectis ciliaris,"POMPANO,AFRICAN",African pompano,2433,Caranginae,jacks,reef-associated,150,
Seriola rivoliana,"JACK,ALMACO",Longfin yellowtail,7464,Naucratinae,jacks,reef-associated,160,
Elagatis bipinnulata,RAINBOW RUNNER,Rainbow runner,1900,Naucratinae,jacks,reef-associated,180,
Seriola dumerili,"AMBERJACK,GREATER",Greater amberjack,7464,Naucratinae,jacks,reef-associated,190,
Seriola fasciata,FALSE AMBERJACK,Lesser amberjack,7464,Naucratinae,jacks,reef-associated,67.5,
Oligoplites saurus,LEATHERJACK,Leatherjacket,4180,Scomberoidinae,jacks,reef-associated,35,
Trachinotus carolinus,"POMPANO,FLORIDA",Florida pompano,2819,Trachinotinae,jacks,benthopelagic,64,
Trachinotus goodei,PALOMETA,Great pompano,2819,Trachinotinae,jacks,reef-associated,50,
Trachinotus falcatus,PERMIT,Permit,2819,Trachinotinae,jacks,reef-associated,122,
Elops saurus,LADYFISH,Ladyfish,565,NA,other,reef-associated,100,
Pterois,LIONFISH,NA,NA,Pterois,lionfish,reef-associated,45.7,
Synodus intermedius,"LIZARDFISH,SAND DIVER",Sand diver,3034,Synodontinae,lizardfish,reef-associated,46,
Synodontidae,"LIZARDFISH,UNSPECIFIED",NA,NA,Synodontinae,lizardfish,reef-associated,46,1
Scyllarides nodifer,"LOBSTER,RIDGED SLIPPER",NA,NA,NA,lobsters,invert,NA,
Scyllarides aequinoctialis,"LOBSTER,SPANISH SLIPPER",NA,NA,NA,lobsters,invert,NA,
Panulirus guttatus,"LOBSTER,SPOTTED SPINY",NA,NA,NA,lobsters,invert,NA,
Panulirus argus,"LOBSTERS,SPINY",NA,NA,NA,lobsters,invert,NA,
Gerres cinereus,"MOJARRA,YELLOWFIN",Yellow fin mojarra,2344,Gerreidae,mojarras,reef-associated,41,
Gerreidae,"MOJARRAS,UNSPECIFIED",NA,NA,Gerreidae,mojarras,reef-associated,36.6,
Diapterus plumieri,"MOJARRA,STRIPED",Striped mojarra,NA,Gerreidae,mojarras,reef-associated,40,
Diapterus rhombeus,"MOJARRA,RHOMBOID",Caitipa mojarra,6023,NA,mojarras,demersal,40,
Eucinostomus gula,"MOJARRA,SILVER JENNY",Jenny mojarra,722,NA,mojarras,reef-associated,25.5,
Agonostomus monticola,"MULLET,MOUNTAIN",Mountain mullet,NA,Mugilidae,mullets,reef-associated,36,
Mugilidae,"MULLET,UNSPECIFIED",NA,NA,Mugilidae,mullets,reef-associated,67,
Mugil liza,"MULLET,LIZA",Lebranche mullet,3595,NA,mullets,demersal,80,
Joturus pichardi,"MULLET,HOG",Bobo mullet,1658,NA,mullets,pelagic-neritic,61,
Mugil curema,"MULLET,WHITE",White mullet,3595,NA,mullets,reef-associated,91,
Osteichthyes,"FISHES,BONY,UNSPECIFIED",NA,NA,Osteichthyes,UNID,NA,NA,
Belonidae,"NEEDLEFISH,UNSPECIFIED",NA,NA,Belonidae,needlefishes,reef-associated,140,1
Ablennes hians,"NEEDLEFISH,FLAT",Flat needlefish,4864,NA,needlefishes,reef-associated,140,
Tylosurus crocodilus,HOUNDFISH,Hound needlefish,1044,NA,needlefishes,reef-associated,150,
Octopus,"OCTOPUS,UNSPECIFIED",NA,NA,Octopus,octopus,invert,NA,
Neoscombrops atlanticus,"SCOMBROPS,ATLANTIC",NA,NA,Malakichthyidae,other,demersal,24.5,
Megalopidae,TARPON,NA,NA,Megalopidae,other,reef-associated,250,
Nomeus gronovii,MAN-OF-WAR FISH,Man-of-war fish,4085,NA,other,demersal,39,
Peprilus paru,"HARVESTFISH,NORTHERN",American harvestfish,2567,NA,other,benthopelagic,30,
Polymixiidae,BEARDFISH,NA,NA,Polymixiidae,other,bathydemersal,20,
Polynemidae,THREADFIN,Barbu,NA,Polynemidae,other,demersal,33,
Stromateidae,"BUTTERFISH,UNSPECIFIED",Atlantic butterfish,NA,Stromateidae,other,pelagic,30,
Megalops atlanticus,TARPON,Tarpon,5018,NA,other,reef-associated,250,
Crassostrea rhizophorae,MANGROVE OYSTER,NA,NA,NA,oyster,invert,NA,
Scaridae,"PARROTFISHES,UNSPECIFIED",NA,NA,Scaridae,parrotfishes,reef-associated,105.67,1
Scarus coelestinus,"PARROTFISH,MIDNIGHT",Midnight parrotfish,4784,Scarinae,parrotfishes,reef-associated,77,
Scarus coeruleus,"PARROTFISH,BLUE",Blue parrotfish,4784,Scarinae,parrotfishes,reef-associated,120,
Scarus guacamaia,"PARROTFISH,RAINBOW",Rainbow parrotfish,4784,Scarinae,parrotfishes,reef-associated,120,
Sparisoma chrysopterum,"PARROTFISH,REDTAIL",Redtail parrotfish,4306,Sparisomatinae,parrotfishes,reef-associated,46,
Sparisoma viride,"PARROTFISH,STOPLIGHT",Stoplight parrotfish,4306,Sparisomatinae,parrotfishes,reef-associated,64,
Scarus taeniopterus,PRINCESS PARROTFISH,Princess parrotfish,4784,Scarinae,parrotfishes,reef-associated,35,
Sparisoma rubripinne,REDFIN PARROTFISH,Redfin parrotfish,4306,Sparisomatinae,parrotfishes,reef-associated,47.8,
Calamus,PORGY (CALAMUS),NA,NA,Calamus,porgies,reef-associated,49.6,1
Archosargus rhomboidalis,"PORGY,SEA BREAM",Western Atlantic seabream,9352,NA,porgies,reef-associated,33,
Calamus pennatula,"PORGY,PLUMA",Pluma porgy,2964,NA,porgies,reef-associated,37,
Calamus penna,"PORGY,SHEEPSHEAD (CALAMUS)",Sheepshead porgy,2964,NA,porgies,reef-associated,46,
Calamus calamus,"PORGY,SAUCEREYE",Saucereye porgy,2964,NA,porgies,reef-associated,56,
Calamus bajonado,"PORGY,JOLTHEAD",Jolthead porgy,2964,NA,porgies,reef-associated,76,
Sparidae,"PORGY,UNSPECIFIED",NA,NA,Sparidae,porgies,reef-associated,49.6,1
Diodontidae,"BURRFISHES,UNSPECIFIED",Longspined porcupinefish,NA,Diodontidae,pufferfishes,reef-associated,50,1
