N,logbook,adj,shellcatch,second_name,third_name
5005,"GROUPER,MISTY",MISTY GROUPER,MISTY GROUPER,,
8801,"GROUPER,NASSAU",NASSAU GROUPER,,,
30,"GROUPER,RED",RED GROUPER,,,
58235,"GROUPER,RED HIND",RED HIND GROUPER,RED HIND,,
25,"GROUPER,ROCK HIND",ROCK HIND GROUPER,ROCK HIND,,
25,"GROUPER,TIGER",TIGER GROUPER,,,
65993,"GROUPER,UNSPECIFIED",UNSPECIFIED GROUPER,GROUPERS,,
193,"GROUPER,YELLOWEDGE",YELLOWEDGE GROUPER,YELLOWEDGE GROUPER,,
2271,"GROUPER,YELLOWFIN",YELLOWFIN GROUPER,YELLOWFIN GROUPER,,
3,"GROUPER,YELLOWMOUTH",YELLOWMOUTH GROUPER,,,
16,"GRUNT,BARRED",BARRED GRUNT,,,
1,"GRUNT,BLACK",BLACK GRUNT,BLACK GRUNT,,
116,"GRUNT,BLACK MARGATE",BLACK MARGATE GRUNT,BLACK MARGATE,,
65,"GRUNT,BLUESTRIPED",BLUESTRIPED GRUNT,BLUESTRIPED GRUNT,,
16,"GRUNT,BURRO",BURRO GRUNT,,,
1,"GRUNT,CAESAR",CAESAR GRUNT,CEASAR GRUNT,,
2,"GRUNT,COTTONWICK",COTTONWICK GRUNT,,,
4,"GRUNT,FRENCH",FRENCH GRUNT,,,
1187,"GRUNT,MARGATE",MARGATE GRUNT,MARGATE,,
5,"GRUNT,PORKFISH",PORKFISH GRUNT,,,
23,"GRUNT,SMALLMOUTH",SMALLMOUTH GRUNT,,,
10,"GRUNT,SPANISH",SPANISH GRUNT,GRAY GRUNT,,
13,"GRUNT,TOMTATE",TOMTATE GRUNT,,,
9157,"GRUNT,UNSPECIFIED",UNSPECIFIED GRUNT,GRUNTS,,
110100,"GRUNT,WHITE",WHITE GRUNT,WHITE GRUNT,,
508,"HALFBEAK,SILVERSTRIPE",SILVERSTRIPE HALFBEAK,BALAO HALHBEAK,,
1,"HAMLET,BLACK",BLACK HAMLET,,,
3,"HAMLET,MUTTON",MUTTON HAMLET,,,
4,"HARVESTFISH,NORTHERN",NORTHERN HARVESTFISH,,,
296,"HERRING,ATLANTIC THREAD",ATLANTIC THREAD HERRING,THREAD HERRING,HERRING,
1,"HERRING,DOGTOOTH",DOGTOOTH HERRING,,,
9,"HERRING,DWARF",DWARF HERRING,,,
20888,"HERRING,SARDINELLA",SARDINELLA HERRING,THREADFIN SHAD,,
90673,HOGFISH,HOGFISH,HOGFISH,,
104,HOUNDFISH,HOUNDFISH,HOUNDFISH,,
515,"JACK,ALMACO",ALMACO JACK,,,
34704,"JACK,BAR",BAR JACK,BAR JACK,,
25,"JACK,BLACK",BLACK JACK,,,
5,"JACK,CREVALLE",CREVALLE JACK,CREVALLE JACK,,
3488,"JACK,HORSE-EYE",HORSE-EYE JACK,HORSE EYE JACK,,
1449,"JACK,YELLOW",YELLOW JACK,YELLOW JACK,,
30586,JACKS,JACKS,JACKS,,
231,LADYFISH,LADYFISH,LADYFISH,,
13,LEATHERJACK,LEATHERJACK,,,
1884,LIONFISH,LIONFISH,LION FISH,,
4,"LIZARDFISH,SAND DIVER",SAND DIVER LIZARDFISH,,,
6,"LIZARDFISH,UNSPECIFIED",UNSPECIFIED LIZARDFISH,,,
689,"LOBSTER,RIDGED SLIPPER",RIDGED SLIPPER LOBSTER,SLIPPER LOBSTER,,
1409,"LOBSTER,SPANISH SLIPPER",SPANISH SLIPPER LOBSTER,SPANISH LOBSTER,,
182,"LOBSTER,SPOTTED SPINY",SPOTTED SPINY LOBSTER,SPOTTED SPINY LOBSTER,,
334271,"LOBSTERS,SPINY",SPINY LOBSTERS,SPINY LOBSTER,SMOOTHTAIL SPINY LOBSTER,
11,"MACKEREL,BULLET",BULLET MACKEREL,,,
25471,"MACKEREL,CERO",CERO MACKEREL,CERO,,
70796,"MACKEREL,KING",KING MACKEREL,KINGFISH MACKEREL,"KING MACKAREL, KINGFISH",
3,MAN-OF-WAR FISH,MAN-OF-WAR FISH,,,
748,MANGROVE OYSTER,MANGROVE OYSTER,,,
416,"MARLIN,BLUE",BLUE MARLIN,,,
319,"MARLIN,UNSPECIFIED",UNSPECIFIED MARLIN,,,
6,"MARLIN,WHITE",WHITE MARLIN,,,
15,"MOJARRA,RHOMBOID",RHOMBOID MOJARRA,,,
28,"MOJARRA,SILVER JENNY",SILVER JENNY MOJARRA,SILVER JENNY,,
26,"MOJARRA,STRIPED",STRIPED MOJARRA,,,
171,"MOJARRA,YELLOWFIN",YELLOWFIN MOJARRA,YELLOWFIN MOJARRA,,
15816,"MOJARRAS,UNSPECIFIED",UNSPECIFIED MOJARRAS,MOJARRAS,,
673,"MOONFISH,ATLANTIC",ATLANTIC MOONFISH,ATLANTIC MOONFISH,,
9,"MULLET,HOG",HOG MULLET,,,
115,"MULLET,LIZA",LIZA MULLET,,,
