"N","logbook","adj","shellcatch","unmatched"
1,"FILEFISH,ORANGE","ORANGE FILEFISH",NA,NA
54,"FILEFISH,ORANGESPOTTED","ORANGESPOTTED FILEFISH",NA,NA
1,"FILEFISH,PYGMY","PYGMY FILEFISH",NA,NA
117823,"FISHES,BONY,UNSPECIFIED","UNSPECIFIED BONY FISHES",NA,NA
18,"FLAMEFISH","FLAMEFISH",NA,NA
15,"FLASHERS","FLASHERS",NA,NA
30,"FLYING GUNARD","FLYING GUNARD",NA,NA
8,"FLYINGFISH, ATLANTIC"," ATLANTIC FLYINGFISH",NA,NA
10,"FLYINGFISH,UNSPECIFIED","UNSPECIFIED FLYINGFISH",NA,NA
5,"FROGFISHES","FROGFISHES",NA,NA
5,"GLASSEYE SNAPPER","GLASSEYE SNAPPER",NA,NA
16076,"GOATFISH,SPOTTED","SPOTTED GOATFISH","SPOTTED GOATFISH",NA
6083,"GOATFISH,UNSPECIFIED","UNSPECIFIED GOATFISH",NA,NA
5968,"GOATFISH,YELLOW","YELLOW GOATFISH","YELLOW GOATFISH",NA
45,"GOBY,SIRAJO","SIRAJO GOBY",NA,NA
5,"GROUPER,BLACK","BLACK GROUPER","BLACK GROUPER",NA
14593,"GROUPER,CONEY","CONEY GROUPER","CONEY",NA
282,"GROUPER,GOLIATH","GOLIATH GROUPER",NA,NA
6,"GROUPER,GRAYSBY","GRAYSBY GROUPER","GRAYSBY",NA
4,"GROUPER,MARBLED","MARBLED GROUPER",NA,NA
5005,"GROUPER,MISTY","MISTY GROUPER","MISTY GROUPER",NA
8801,"GROUPER,NASSAU","NASSAU GROUPER",NA,NA
30,"GROUPER,RED","RED GROUPER",NA,NA
58235,"GROUPER,RED HIND","RED HIND GROUPER","RED HIND",NA
25,"GROUPER,ROCK HIND","ROCK HIND GROUPER","ROCK HIND",NA
25,"GROUPER,TIGER","TIGER GROUPER",NA,NA
65993,"GROUPER,UNSPECIFIED","UNSPECIFIED GROUPER",NA,NA
193,"GROUPER,YELLOWEDGE","YELLOWEDGE GROUPER","YELLOWEDGE GROUPER",NA
2271,"GROUPER,YELLOWFIN","YELLOWFIN GROUPER","YELLOWFIN GROUPER",NA
3,"GROUPER,YELLOWMOUTH","YELLOWMOUTH GROUPER",NA,NA
16,"GRUNT,BARRED","BARRED GRUNT",NA,NA
1,"GRUNT,BLACK","BLACK GRUNT","BLACK GRUNT",NA
116,"GRUNT,BLACK MARGATE","BLACK MARGATE GRUNT","BLACK MARGATE",NA
65,"GRUNT,BLUESTRIPED","BLUESTRIPED GRUNT","BLUESTRIPED GRUNT",NA
