SCIname,COMname,common,genera,subfam,famcode,PD,Lmax,borrowed,USVI
Coryphaena hippurus,DOLPHINFISH,Common dolphinfish,6651,NA,dolphinfish,pelagic-neritic,210,NA,1
Coryphaena equiselis,"DOLPHINFISH,POMPANO",Pompano dolphinfish,6651,NA,dolphinfish,pelagic-oceanic,145.6999969,NA,NA
Umbrina coroides,"DRUM,SAND",Sand drum,1644,NA,drums,demersal,35,NA,NA
Bairdiella ronchus,"DRUMMER,GROUND",Ground croaker,3481,NA,drums,demersal,35,NA,NA
Cynoscion jamaicensis,"DRUMMER,MONGOLAR",Jamaica weakfish,5172,NA,drums,demersal,50,NA,NA
Micropogonias furnieri,"DRUMMER,WHITEMOUTH",Whitemouth croaker,124,NA,drums,demersal,60,NA,NA
Equetus punctatus,"DRUM,SPOTTED",Spotted drum,3517,NA,drums,reef-associated,27,NA,NA
Odontoscion dentex,"DRUM,REEF CROAKER",Reef croaker,5824,NA,drums,reef-associated,30,NA,NA
Equetus lanceolatus,"DRUM,JACKKNIFE-FISH",Jack-knifefish,NA,Sciaenidae,drums,reef-associated,25,NA,NA
Sciaenidae,"DRUM,UNSPECIFIED",NA,NA,Sciaenidae,drums,reef-associated,25,1,NA
Conger,"EEL,CONGER",NA,NA,Conger,eels,reef-associated,100,1,NA
Conger triporiceps,"EEL,CONGER,MANYTOOTH",Manytooth conger,8995,Congrinae,eels,reef-associated,100,NA,NA
Muraenidae,"EEL,MORAYS,UNSPECIFIED",NA,NA,Muraenidae,eels,reef-associated,146.67,1,NA
Gymnothorax ocellatus,"EEL,MORAY",Ocellated moray,3758,Muraeninae,eels,reef-associated,90,NA,NA
Enchelycore nigricans,"EEL,MORAY,VIPER",Viper moray,1716,Muraeninae,eels,reef-associated,100,NA,NA
Gymnothorax funebris,"EEL,MORAY,GREEN",Green moray,3758,Muraeninae,eels,reef-associated,250,NA,1
Anguilla rostrata,"EEL,AMERICAN",American eel,9424,NA,eels,demersal,152,NA,NA
Monacanthus setifer,"FILEFISH,PYGMY",Pygmy filefish,NA,Monacanthidae,filefishes,reef-associated,20,NA,NA
Aluterus schoepfi,"FILEFISH,ORANGE",Orange filefish,NA,Monacanthidae,filefishes,reef-associated,61,NA,NA
