SCIname,COMname,common,genera,subfam,famcode,PD,Lmax,borrowed,USVI
Ginglymostoma cirratum,"SHARK,NURSE",Nurse shark,1797,NA,sharks,reef-associated,430,NA,NA
Orectolobidae,"SHARK,WOBBEGONGS",NA,NA,Orectolobidae,sharks,NA,NA,NA,NA
Rhincodontidae,"SHARK,WHALE",NA,NA,Rhincodontidae,sharks,pelagic,1700,NA,NA
Sphyrnidae,"SHARK,HAMMERHEAD,UNSPECIFIED",NA,NA,Sphyrnidae,sharks,pelagic-oceanic,520,1,NA
Mustelus norrisi,"SHARK,SMOOTHHOUND,NARROWFIN",Narrowfin smooth-hound,6505,Triakinae,sharks,demersal,110,NA,NA
Mustelus canis,"SHARK,DOGFISH,SMOOTH",Dusky smooth-hound,6505,Triakinae,sharks,demersal,150,NA,NA
,"SHARK,UNSPECIFIED",,,,sharks,demersal,377,,1
Crustacea,"SHELLFISH,UNSPECIFIED",NA,NA,Crustacea,shellfish,invert,NA,NA,1
Cittarium pica,"TOPSNAIL,WEST INDIAN",NA,NA,NA,shellfish,invert,NA,NA,1
,SEA CUCUMBERS,,,,shellfish,invert,NA,NA,1
,SEA URCHINS,,,,shellfish,invert,NA,NA,1
Penaeus,"SHRIMP,PENAEUS,UNSPECIFIED",NA,NA,Penaeus,shrimp,invert,NA,NA,NA
Atherinidae,SILVERSIDE,NA,NA,Atherinidae,silversides,reef-associated,10,1,NA
Atherinomorus stipes,"SILVERSIDE,HARDHEAD",Hardhead silverside,2758,Atherinomorinae,silversides,reef-associated,10,NA,NA
Eleotridae,SLEEPERS,NA,NA,Eleotridae,sleepers,demersal,57.5,1,NA
Eleotris pisonis,"SLEEPER,SPINYCHEEK",Spinycheek sleeper,5744,Eleotrinae,sleepers,demersal,25,NA,NA
Gobiomorus dormitor,"SLEEPER,BIGMOUTH",Bigmouth sleeper,2078,Eleotrinae,sleepers,demersal,90,NA,NA
Gempylidae,SNAKE MACKERELS,NA,NA,Gempylidae,snake mackerels,pelagic-oceanic,100,1,NA
Promethichthys prometheus,"SNAKE MACKEREL,PURPLE",Roudi escolar,2379,NA,snake mackerels,benthopelagic,100,NA,NA
Ruvettus pretiosus,ESCOLAR,Oilfish,1045,NA,snake mackerels,benthopelagic,300,NA,NA
Gempylus serpens,SNAKE MACKERELS,Snake mackerel,1960,NA,snake mackerels,pelagic-oceanic,100,NA,NA
Apsilus dentatus,"SNAPPER,BLACK",Black snapper,1343,Apsilinae,snappers,reef-associated,65,NA,1
Etelis oculatus,"SNAPPER,QUEEN",Queen snapper,9802,Etelinae,snappers,bathydemersal,100,NA,1
Pristipomoides macropthalmus,"SNAPPER,CARDINAL",Cardinal snapper,NA,Lutjanidae,snappers,demersal,50,NA,NA
Lutjanidae,"SNAPPER,UNSPECIFIED",NA,NA,Lutjanidae,snappers,demersal,88.53,1,1
Rhomboplites aurorubens,"SNAPPER,VERMILION",Vermilion snapper,6165,Lutjaninae,snappers,demersal,60,NA,1
Lutjanus purpureus,"SNAPPER,CARIBBEAN RED",Southern red snapper,1202,Lutjaninae,snappers,demersal,100,NA,NA
Lutjanus mahogoni,"SNAPPER,MAHOGANY",Mahogany snapper,1202,Lutjaninae,snappers,reef-associated,48,NA,1
Lutjanus synagris,"SNAPPER,LANE",Lane snapper,1202,Lutjaninae,snappers,reef-associated,60,NA,1
Lutjanus buccanella,"SNAPPER,BLACKFIN",Blackfin snapper,1202,Lutjaninae,snappers,reef-associated,75,NA,1
Lutjanus apodus,"SNAPPER,SCHOOLMASTER",Schoolmaster snapper,1202,Lutjaninae,snappers,reef-associated,79.09999847,NA,NA
Lutjanus vivanus,"SNAPPER,SILK",Silk snapper,1202,Lutjaninae,snappers,reef-associated,83,NA,1
Ocyurus chrysurus,"SNAPPER,YELLOWTAIL",Yellowtail snapper,6197,Lutjaninae,snappers,reef-associated,86.30000305,NA,1
Lutjanus griseus,"SNAPPER,GRAY",Grey snapper,1202,Lutjaninae,snappers,reef-associated,89,NA,1
Lutjanus analis,"SNAPPER,MUTTON",Mutton snapper,1202,Lutjaninae,snappers,reef-associated,94,NA,1
Lutjanus jocu,"SNAPPER, DOG",,,,snappers,reef-associated,128,NA,1
Lutjanus cyanopterus,"SNAPPER,CUBERA",Cubera snapper,1202,Lutjaninae,snappers,reef-associated,160,NA,1
Lutjanus apodus,SCHOOLMASTER,,,,snappers,reef-associated,79.1,NA,1
Pristipomoides aquilonaris,"SNAPPER,WENCHMAN",,,,snappers,reef-associated,56,NA,1
,,,,,,,,,NA
Centropomidae,"SNOOK,UNSPECIFIED",Common snook,NA,Centropomidae,snook,demersal,140,NA,1
Centropomus ensiferus,"SNOOK,SWORDSPINE",Swordspine snook,549,NA,snook,benthopelagic,36.19499969,NA,NA
Centropomus pectinatus,"SNOOK,TARPON",Tarpon snook,549,NA,snook,benthopelagic,56,NA,NA
Centropomus parallelus,"SNOOK,FAT",Fat snook,549,NA,snook,demersal,72,NA,NA
Centropomus undecimalis,"SNOOK,COMMON",Common snook,549,NA,snook,reef-associated,140,NA,NA
Ephippididae,SPADEFISH,,,,spadefish,demersal,91,NA,1
Chaetodipterus faber,"SPADEFISH, ATLANTIC",,,,spadefish,reef-associated,91,NA,1
,,,,,,,,,NA
,,,,,,,,,NA
Theuthoidea,"SQUIDS,UNSPECIFIED",NA,NA,Theuthoidea,squid,invert,NA,NA,NA
Holocentridae,SQUIRRELFISH,NA,NA,Holocentridae,squirrelfishes,reef-associated,61,1,1
Holocentrus adscensionis,SQUIRRELFISH,Squirrelfish,1088,Holocentrinae,squirrelfishes,reef-associated,61,NA,1
Myripristis jacobus,"SOLDIERFISH,BLACKBAR",Blackbar soldierfish,5158,Myripristinae,squirrelfishes,reef-associated,25,NA,NA
Holocentrus rufus,"SQUIRRELFISH,LONGSPINE",Squirrelfish,1088,Holocentrinae,squirrelfishes,reef-associated,35,,1
Acanthuridae,"SURGEONFISH,UNSPECIFIED",NA,NA,Acanthuridae,surgeonfishes,reef-associated,39,1,1
Acanthurus chirurgus,"SURGEONFISH,DOCTORFISH",Doctorfish,9710,Acanthurinae,surgeonfishes,reef-associated,39,NA,1
Acanthurus bahianus,"SURGEONFISH,OCEAN",Barber surgeonfish,9710,Acanthurinae,surgeonfishes,reef-associated,39,1,1
Acanthurus coeruleus,"SURGEONFISH,BLUE TANG",,,,surgeonfishes,reef-associated,39,,1
Malacanthidae,"TILEFISH,UNSPECIFIED",NA,NA,Malacanthidae,tilefishes,demersal,65,NA,NA
Malacanthus plumieri,"TILEFISH,SAND",Sand tilefish,497,NA,tilefishes,reef-associated,70,NA,NA
Caulolatilus cyanops,"TILEFISH,BLACKLINE",Blackline tilefish,1615,NA,tilefishes,demersal,60,NA,NA
Balistidae,"TRIGGERFISH,UNSPECIFIED",NA,NA,Balistidae,triggerfishes,reef-associated,52.5,1,1
Xanthichthys ringens,"TRIGGERFISH,SARGASSUM",Sargassum triggerfish,5217,NA,triggerfishes,reef-associated,25,NA,NA
Melichthys niger,"DURGON,BLACK",Black triggerfish,3393,NA,triggerfishes,reef-associated,50,NA,NA
Balistes capriscus,"TRIGGERFISH,GRAY",Grey triggerfish,4755,NA,triggerfishes,reef-associated,60,NA,NA
Balistes vetula,"TRIGGERFISH,QUEEN",Queen triggerfish,4755,NA,triggerfishes,reef-associated,60,NA,1
Canthidermis sufflamen,"TRIGGERFISH,OCEAN",Ocean triggerfish,4372,NA,triggerfishes,reef-associated,65,NA,1
Lobotidae,FLASHERS,NA,NA,Lobotidae,tripletail,benthopelagic,110,1,NA
Lobotes surinamensis,TRIPLETAIL,Tripletail,165,NA,tripletail,benthopelagic,110,NA,1
Fistulariidae,CORNETFISH,NA,NA,Fistulariidae,trumpetfishes,reef-associated,200,NA,NA
Aulostomus maculatus,TRUMPETFISH,Trumpetfish,4704,NA,trumpetfishes,reef-associated,100,NA,NA
Fistularia tabacaria,"CORNETFISH,BLUESPOTTED",Cornetfish,1424,NA,trumpetfishes,reef-associated,200,NA,NA
Scombridae,"TUNA AND MACKERELS,UNSPECIFI",NA,NA,Scombridae,tunas and mackerels,pelagic-neritic,163.6,1,1
Auxis rochei,"MACKEREL,BULLET",Bullet tuna,220,Scombrinae,tunas and mackerels,pelagic-neritic,50,NA,NA
Scomberomorus cavalla,"MACKEREL,KING",King mackerel,2960,Scombrinae,tunas and mackerels,pelagic-neritic,184,NA,1
Thunnus atlanticus,"TUNA,BLACKFIN",Blackfin tuna,8961,Scombrinae,tunas and mackerels,pelagic-oceanic,107.9499969,NA,1
Katsuwonus pelamis,"TUNA,SKIPJACK",Skipjack tuna,4643,Scombrinae,tunas and mackerels,pelagic-oceanic,110,NA,1
Euthynnus alletteratus,"TUNNY,LITTLE",Little tunny,7010,Scombrinae,tunas and mackerels,pelagic-oceanic,122,NA,1
Thunnus alalunga,"TUNA,ALBACORE",Albacore,8961,Scombrinae,tunas and mackerels,pelagic-oceanic,140,NA,NA
Thunnus albacares,"TUNA,YELLOWFIN",Yellowfin tuna,8961,Scombrinae,tunas and mackerels,pelagic-oceanic,239,NA,1
Thunnus obesus,"TUNA,BIGEYE",Bigeye tuna,8961,Scombrinae,tunas and mackerels,pelagic-oceanic,250,NA,1
Acanthocybium solandri,WAHOO,Wahoo,369,Scombrinae,tunas and mackerels,pelagic-oceanic,250,NA,1
Scomberomorus regalis,"MACKEREL,CERO",Cero,2960,Scombrinae,tunas and mackerels,reef-associated,183,NA,1
,"TUNA,UNSPECIFIED",,,,tunas and mackerels,pelagic,161.5,NA,1
Scomberomorus,"MACKEREL,KING AND CERO,UNSPE",,,,tunas and mackerels,pelagic-neritic,184,NA,1
Osteichthyes,"FISHES,BONY,UNSPECIFIED",NA,NA,Osteichthyes,UNID,NA,NA,NA,1
Bodianus rufus,"WRASSE,SPANISH HOGFISH",Spanish hogfish,1995,Bodianinae,wrasses,reef-associated,40,NA,NA
Halichoeres radiatus,"WRASSE,PUDDINGWIFE",Puddingwife wrasse,1901,Corinae,wrasses,reef-associated,51,NA,NA
Labridae,"WRASSES,UNSPECIFIED",NA,NA,Labridae,wrasses,reef-associated,45.5,1,NA
Lachnolaimus maximus,HOGFISH,Hogfish,219,NA,wrasses,reef-associated,91,NA,NA
Halichoeres radiatus,PUDDINGWIFE,,,,wrasses,reef-associated,51,NA,1
