area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Miscellaneous aquatic invertebrates","Aquatic invertebrates","Other demersal invertebrates","Other fishes & inverts","Puerto Rico (USA)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,26.4595863837,98044.55939874768
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Miscellaneous aquatic invertebrates","Aquatic invertebrates","Other demersal invertebrates","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Discards,Unreported,hand or tools,,3.6577732217
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Miscellaneous aquatic invertebrates","Aquatic invertebrates","Other demersal invertebrates","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Reported,hand or tools,Direct human consumption,20.1600000000,74701.7844048
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Miscellaneous aquatic invertebrates","Aquatic invertebrates","Other demersal invertebrates","Other fishes & inverts","Puerto Rico (USA)",Artisanal,Landings,Unreported,hand or tools,Direct human consumption,10.3214435141,38245.54802255714
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Mollusca","Clams, seasnails, squids, octopuses","Other demersal invertebrates","Molluscs","Puerto Rico (USA)",Artisanal,Discards,Unreported,hand or tools,,3.6577732220
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Mollusca","Clams, seasnails, squids, octopuses","Other demersal invertebrates","Molluscs","Puerto Rico (USA)",Artisanal,Landings,Reported,hand or tools,Direct human consumption,20.1600000000,32070.231365760003
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Mollusca","Clams, seasnails, squids, octopuses","Other demersal invertebrates","Molluscs","Puerto Rico (USA)",Artisanal,Landings,Unreported,hand or tools,Direct human consumption,10.3214435100,16419.200465988193
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Bivalvia","Clams","Other demersal invertebrates","Molluscs","Puerto Rico (USA)",Artisanal,Discards,Unreported,hand or tools,,3.6577732217
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Bivalvia","Clams","Other demersal invertebrates","Molluscs","Puerto Rico (USA)",Artisanal,Landings,Reported,hand or tools,Direct human consumption,20.1600000000,118485.43860384001
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Bivalvia","Clams","Other demersal invertebrates","Molluscs","Puerto Rico (USA)",Artisanal,Landings,Unreported,hand or tools,Direct human consumption,10.3214435141,60661.744136405556
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Serranidae","Basses, groupers, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,22.0933450393,48087.136657313364
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Serranidae","Basses, groupers, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Discards,Unreported,small scale pots or traps,,63.6288337132
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Serranidae","Basses, groupers, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,350.6934984520,763299.8151656092
"Puerto Rico (USA)",eez,Reconstructed domestic catch,3,1950,"Serranidae","Basses, groupers, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,179.5467824914,390791.4646099077
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Serranidae","Basses, groupers, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,107.4666666667,233905.92401973408
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Lutjanidae","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,33.2587989839,4.656113689233658
"Puerto Rico (USA)",eez,Reconstructed domestic catch,2,1950,"Lutjanidae","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Puerto Rico (USA)",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,161.7777777778,22.648314092444476
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Lutjanidae","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","US Virgin Isl.",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,50.9646095270,364815.3361790037
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Lutjanidae","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","US Virgin Isl.",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,9.0300460606,64638.958679138384
"US Virgin Isl.",eez,Reconstructed domestic catch,2,1950,"Lutjanidae","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","US Virgin Isl.",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,7.9090653032,56614.743921771915
